漢字,ひらがな,english
積極的,せっきょくてき,positive;assertive;proactive;aggressive
消極的,しょうきょくてき,negative;passive;half-hearted;unmotivated
大人しい,おとなしい,obedient;docile;quiet
喧しい,やかましい,noisy;loud;fastidious
慎重,しんちょう,careful;cautious;prudent;discreet
そそっかしい,そそっかしい,careless;thoughtless;hasty;rash
きちんと,きちんと,properly;neatly;orderly
だらしない,だらしない,sloppy;untidy;loose
器用,きよう,skillful;dextrous;handy
不器用,ぶきよう,clumsy;awkward;unskillfulness
要領,ようりょう,gist;point;outline;essentials
謙虚,けんきょ,modest;humble
生意気,なまいき,impertinent;cheeky;imprudent;cocky;brash
勘,かん,intuition;perception
鋭い,するどい,sharp
鈍い,にぶい,dull;slow;lethargic;insensitive
弱気,よわき,timid;fainthearted
強気,つよき,confident;assured
長所,ちょうしょ,strong point;merit;virtue;adventage
頼もしい,たのもしい,reliable;trustworthy
頼り,たより,dependence;reliance
礼儀,れいぎ,manners;courtesy;etiquette
礼儀正しい,れいぎただしい,courteous;polite
冷静,れいせい,calmness;composure;serenity
陽気,ようき,cheerful;jovial;merry;lively
ユーモア,ユーモア,humour
はきはき,はきはき,smartly;promptly;lucidly;clearly
にこにこ,にこにこ,smilingly
純粋,じゅんすい,pure;true;genuine
穏やか,おだやか,calm;quiet;gentle;peaceful;mild
短所,たんしょ,defect;demerit;weak point
我が儘,わがまま,selfish;egoist
強引,ごういん,coercive;pushy;overbearing
厚かましい,あつかましい,shameless;impudent;brazen
図々しい,ずうずうしい,shameless;impudent;brazen
けち,けち,miser;stinginess;cheap
乱暴,らんぼう,violence;reckless;rough
荒い,あらい,rough;violent;rude;heavy
卑怯,ひきょう,cowardly;unfair;mean;sneaky;dirty
平気,へいき,calmness;coolness;unconcern
裏切る,うらぎる,to betray
威張る,いばる,to act big;to be bossy;to be arrogant
巫山戯る,ふざける,to joke;to make fun of;to mess around
飽きる,あきる,to get tired of;to lose interest in; to be fed up
慌てる,あわてる,to become confused;to panic
呑気,のんき,carefree;optimistic;easygoing
のんびり,のんびり,at leisure;in a carefree manner;quietly
洒落,しゃれ,joke;pun;wordplay
率直,そっちょく,frank;straightforward;candid;direct;outspoken
心理,しんり,mentality;state of mind;psychology
緊張,きんちょう,tension;mental strain;nervousness
どきどき,どきどき,to beat fast
苛々,いらいら,to get irritated;to get annoyed
気楽,きらく,carefree;comfortable;at ease
機嫌,きげん,humour;mood;in a good mood
様子,ようす,appearance;state;indication
清潔,せいけつ,clean;hygienic;sanitary;pure
不潔,ふけつ,unclean;dirty;unsanitary
見かけ,みかけ,outward appearance
派手,はで,showy;flashy;gaudy
地味,じみ,plain;simple;sober
心理的,しんりてき,psychological
不真面目,ふまじめ,not serious
規則,きそく,rule;regulation
規則正しい,きそくただしい,regular;well-regulated
飽きっぽい,あきっぽい,easily bored
態と,わざと,on purpose
一切,いっさい,all;everything;entirety;absolutely (not);(not) at all
めっきり,めっきり,remarkably;noticeably;considerably
相変わらず,あいかわらず,as usual;as always;as before;still
