漢字,ひらがな,english
地形,ちけい,terrain;topography
陸,りく,land;shore
日本列島,にほんれつとう,japan archipielago
半島,はんとう,peninsula
岬,みさき,cape (on coast)
傾らか*,なだらか,smooth (a hill)
丘,おか,hill
険しい,けわしい,precipitous;steep;inaccesible;rugged
頂上,ちょうじょう,top;summit;peak
麓*,ふもと,foot (of a mountain);bottom;base
盆地,ぼんち,basin
平野,へいや,plain;open field
谷,たに,valley
滝,たき,waterfall
湖,みずうみ,lake
地下水,ちかすい,underground water
湧く,わく,to well up;to gush up;to spring out
薄暗い,うすぐらい,gloomy;dim
砂,すな,sand
泥,どろ,mud;slush;mire
地盤,じばん,crust;ground
砂漠,さばく,desert
沖,おき,open sea
岸,きし,coast;shore;bank
湾,わん,bay;gulf;inlet
温暖,おんだん,warm;mild;temperate
高気圧,こうきあつ,high atmospheric pressure
嵐,あらし,storm;tempest
霧,きり,fog;mist
快晴,かいせい,clear weather;good weather;cloudless weather
夕立,ゆうだち,(sudden) evening shower (rain)
風景,ふうけい,scenery;landscape;sight
眺める,ながめる,to gaze at;to stare at
眺め,ながめ,scene;view;outlook
見上げる,みあげる,to look up at;to admire
見下ろす,みおろす,to look down on;to overlook
地平線,ちへいせん,horizon
水平線,すいへいせん,horizon
夕日,ゆうひ,setting sun;evening sun
沈む,しずむ,to go down (sun);to sink
暮れる,くれる,to get dark
真っ暗,まっくら,pitch dark;total darkness
新年度,しんねんど,new year
新学期,しんがっき,new school term
シーズン,シーズン,season
梅雨,つゆ,rainy season
明ける,あける,to begin
湿度,しつど,humidity
蒸し暑い,むしあつい,sultry;humid
日差し,ひざし,sunlight
眩しい,まぶしい,dazzling;radiant
汗,あせ,sweat;moisture
掻く*,かく,to perspire;to scratch
紅葉,こうよう／もみじ,leaves turning red;fall colors
果実,かじつ,fruit;nut;berry
実る,みのる,to bear fruit;to ripen
稲,いね,rice plant
刈る,かる,to mow;to cut (grass);to trim;to harvest
初雪,はつゆき,first snowfall
初霜,はつしも,first frost of the year
吹雪,ふぶき,blizzard;snow storm
凍える,こごえる,to be chilled;to become numb (with cold)
持ち上げる,もちあげる,to lift up;to raise
取り上げる,とりあげる,to pick up
真っ青,まっさお,deep blue
新製品,しんせいひん,new product
初出場,はつしゅつじょう,first performance;first participation
初優勝,はつゆうしょう,first win
ぼんやり,ぼんやり,idly;aimlessly;dimly;faintly;vaguely
遥に*,はるかに,far away;by far;long ago;long before
一段,いちだん,much more;more;still more;all the more
決まって,きまって,always;without fail;invariably;usually
