漢字,ひらがな,english
感情,かんじょう,emotion;feelings
羨む,うらやむ,to envy;to be jealous of
尊敬,そんけい,respect;honour
敬う,うやまう,to show respect for; to revere; to honour
疑う,うたがう,to doubt; to distrust;to suspect; to be suspicious of
恐れる,おそれる,to fear;to be afraid of
憎む,にくむ,to hate;to detest
恨む,うらむ,to resent;to blame; to curse; to feel bitter towards
嫌う,きらう,to hate;to dislike;to loathe
嫌がる,いやがる,to hate;to dislike
敬意,けいい,respect;honour
憧れる,あこがれる,to admire;to long for;to be attracted by
恩,おん,debt of gratitude;obligation;favour
失望,しつぼう,dissapointment;despair
羨ましい,うらやましい,envious;jealous
憎い,にくい,hateful;abominable;detestable
憎らしい,にくらしい,odious;hateful;detestable;horrible
哀れ,あわれ,pity;sorrow;misery;pathetic
気の毒,きのどく,pitiful;unfortunate;miserable;poor;wretched
申し訳ない,もうしわけない,I'm sorry;(it's) inexcusable;I feel regretful
済まない,すまない,inexcusable;unjustifiable;unpardonable
有難い,ありがたい,grateful;thankful;appreciated
行動,こうどう,action;behaviour
慰める,なぐさめる,to comfort;to console;to amuse
貶す,けなす,to speak ill;to disparage
罵る,ののしる,to abuse (verbally);to curse at;to speak ill of
睨む,にらむ,to glare at;to stare intensely at;to judge;to keep an eye on someone
避ける,さける,to avoid;to move out of the way
助言,じょげん,advice;counsel;suggestion
忠告,ちゅうこく,advice;warning
言いつける,いいつける,to tell (to do); to order;to direct
皮肉,ひにく,irony;sarcasm;cynicism;satire
ぶつぶつ,ぶつぶつ,grunt;grumble;complaint;mutter
不平,ふへい,discontent;dissatisfaction;grievance
自慢,じまん,pride;boast
怒鳴る,どなる,to yell;to shout (in anger)
隠す,かくす,to hide;to conceal
広める,ひろめる,to spread;to propagate;to popularize;to disseminate
誤解,ごかい,misunderstanding
解く,とく,to solve;to untie;to dispel;to dissolve
解ける,とける,to be solved;to loosen;to be cleared up
仲直り,なかなおり,reconciliation;make peace with
エチケット,エチケット,etiquette;good manners
作法,さほう,manners;etiquette
敬語,けいご,honorific language;polite expression
反抗的,はんこうてき,rebellious;defiant
態度,たいど,attitude;manner;behaviour
道徳,どうとく,morals;morality
重視,じゅうし,putting emphasis on;regarding as important
姿勢,しせい,posture;pose;stance
見っともない,みっともない,shameful;disfraceful;improper
服装,ふくそう,garments;attire
恋愛,れんあい,love;passion;affections
持てる,もてる,to be well liked;to be popular
理想,りそう,ideal
偶然,ぐうぜん,coincidence;accident;by chance
見かける,みかける,to (happen to) see; to notice; to catch sight of
冷める,さめる,to cool down;to get cold; to cool off
振る,ふる,to turn down (somebody);to reject;to dump;to jilt
失恋,しつれん,broken heart;dissapointed love;being lovelorn
寒がる,さむがる,to be bothered by coldness
欲しがる,ほしがる,to desire;to want;to wish for;to covet
可愛らしい,かわいらしい,lovely;sweet
結びつける,むすびつける,to combine;to join;to tie on;to bind
強める,つよめる,to strengthen;to emphasise
高める,たかめる,to raise;to lift;to enhance
道徳的,どうとくてき,moral
理想的,りそうてき,ideal
正に,まさに,exactly;surely;certainly;just
思い切る,おもいきる,to give up all thoughts of;to abandon;to despair of
漸く,ようやく,finally;at last;barely;narrowly;hardly;only just;gradually
いつの間にか,いつのまにか,before one knows;unnoticed;unawares
