漢字,ひらがな,english
娯楽,ごらく,hobby;amusement
訓練,くんれん,training;drill;practice
トレーニング,トレーニング,training
監督,かんとく,coach;director;manager
コーチ,コーチ,coach
指導,しどう,guidance;coaching
上達,じょうたつ,improvement;advance;progress
競技,きょうぎ,game;match;competition
出場,しゅつじょう,(stage) appearance;performance;participation
見事,みごと,splendid;magnificent;excellent
活躍,かつやく,activity (esp. energetic);to play an active role
ミス,ミス,miss
従う,したがう,to obey;to abide by;to follow;to conform
違反,いはん,violation;offence;infringement
観客,かんきゃく,audience;spectator
応援,おうえん,aid;assistance;cheering;support
ベテラン,ベテラン,veteran
引退,いんたい,retirement
敵,てき,rival;opponent
破る,やぶる,to defeat;to beat;to tear;to rip;to break
敗れる,やぶれる,to be defeated;to be beaten;to lose
攻める,せめる,to attack;to assault
味方,みかた,ally;friend;supporter
勝敗,しょうはい,victory or defeat;outcome
勝負,しょうぶ,victory or defeat;match;contest;game
引き分け,ひきわけ,tie (draw)
賞品,しょうひん,prize;trophy
賞金,しょうきん,prize money;reward
文芸,ぶんげい,literature;liberal arts
読書,どくしょ,reading (books)
作家,さっか,author;writer;novelist
著者,ちょしゃ,author;writer
筆者,ひっしゃ,writer;author
書籍,しょせき,book;publication
目次,もくじ,table of contents;contents
索引,さくいん,index (in a book)
評論,ひょうろん,critique;criticism
執筆,しっぴつ,writing (as a profession)
古典,こてん,classic (work);the classics
現代語,げんだいご,modern language
訳す,やくす,to translate
現代語訳,げんだいごやく,modern translation
名作,めいさく,masterpiece
傑作,けっさく,masterpiece;best work
印象的,いんしょうてき,impressing;memorable;impactful
名場面,めいばめん,famous scene (in a movie)
未発表,みはっぴょう,unpublished;not yet announced
随筆,ずいひつ,essay
粗筋,あらすじ,outline;summary;argument
文芸作品,ぶんげいさくひん,literary work
解説,かいせつ,explanation;commentary;exposition
演劇,えんげき,drama;theatre;play
芝居,しばい,play;drama
役者,やくしゃ,actor;actress
演技,えんぎ,acting;performance
劇場,げきじょう,theatre;playhouse
客席,きゃくせき,guest seating;passenger seat
満員,まんいん,full house;no vacancy;sold out
舞台,ぶたい,stage
ステージ,ステージ,stage
幕,まく,curtain
台詞*,セリフ,speech;one's lines
曲,きょく,song;track;piece of music;tune
演奏,えんそう,musical performance
裁縫,さいほう,sewing;needlework
編み物,あみもの,knitting
工芸,こうげい,industrial arts;craft;handicraft
綿*,わた,cotton plant;batting;wadding;padding
詰める,つめる,to stuff in;to jam;to pack;to plug
削る,けずる,to shave (wood);to sharpen (pencil);to scrape off
彫る,ほる,to carve;to engrave;to sculpt;to chisel
日本語訳,にほんごやく,japanese translation
名曲,めいきょく,famous piece of music
未完成,みかんせい,incomplete;unfinished
ひょっとすると,ひょっとすると,perhaps;maybe;possibly
僅か*,わずか,a little;a few;merely;meager;trifling;just;only
正に*,まさに,exactly;just;at that moment;just (about to)
実に,じつに,really;indeed;absolutely;truly;actually;very
